Postcode,Borough,Neighbourhood,Latitude,Longitude
76116,Queretaro,"Ampliación Patria Nueva, Chula Vista I, Che Guevara (Axayacatl), Loma IX, 25 de Diciembre, Geo Villas, Josefa Ortiz de Domínguez IV, Tenochtitlán II, Víctor Iturbe, Rinconada de las Fuentes, Misión de Carrillo II, Chula Vista II, Patria Nueva, Loma Real, Eucaliptos, Lomas de San Ángel, Las Camelinas, Jardines de Azucenas, Prados del Rincón 2a. Sección, La Floresta, Misión de Carrillo, Tenochtitlán, Ciudad del Sol, Los Encinos, Sierra Colorada, Benito Juárez, Cerrito Colorado, Ciudad del Sol Sección Valle de Santiago, Real de la Loma, Puerta Navarra, Ex-Hacienda Santana, Villas de Guadalupe, Teotihuacan, La Loma, Cerrito Colorado 2a Secc, Querena, Claustros de la Loma, Geo Plazas, Vistas del Valle, Rocio Sanz, Bugambilias Residencial, La Peña, Las Azucenas, Puerta del Sol, La Cordillera, Colinas del Poniente",20.6426795287313,-100.47293330197700
76117,Queretaro,"Pedregal de Buenos Aires, Centenario, Francisco Javier Mina, Comevi, Laderas de San Pedro, La Esmeralda, San Marcos I, Jardines del Sol, Fernando de Tapia, Fundadores, Misión Fundadores, Colinas de Santa Cruz 2a Sección, Colinas de Santa Cruz 1a Sección, San Pedro Mártir, Rubén Jaramillo, Desarrollo Familiar, San Marcos, Insurgentes, Prados del Rincón",20.622135727857,-100.461988828161
76118,Queretaro,"Paseos de San Miguel, Eduardo Loarca Castillo, Jardines de Jurica, El Romerillal, Villas de San Miguel, Paraíso, Revolución, San Miguel, Leyes de Reforma, El Tepeyac, Real del Marques Residencial, 5 de Febrero, Rinconada del Cerrito, Luis Donaldo Colosio, Prados de Loma Bonita, 15 de Mayo, Lomas del Pedregal 2a. Sección, Independencia, Libertadores, Loma Bonita 2a. Sección, Francisco Villa I, Hacienda Mompaní, Monte Vesubio, Morelos, Francisco Villa II, Rosendo Salazar, Cerrito Colorado IV, Cerrito Colorado V, Cerrito Colorado VI, Cerrito Colorado VII, Miguel Hidalgo, Loma Bonita, 10 de Abril, Cerrito Colorado III",20.65090621789040,-100.47176618636900
76120,Queretaro,"Benito Juárez, Santiago",20.633258314967800,-100.43223125185400
76121,Queretaro,"Altos de San Pablo, La Esperanza, Puesta del Sol, Felipe Ángeles, Tlanese, Nueva Esperanza, San Pablo III (INFONAVIT), Conquistadores, San Pablo IV (INFONAVIT), Las Américas San Pablo, Las Américas, Movimiento Obrero",20.627043171962500,-100.41321995924900
76125,Queretaro,"San Pablo II FOVISSSTE, Desarrollo San Pablo, San Pablo I FOVISSSTE, Rivera y Tamayo, Punta San Carlos, Latinoamericana, Misión Bucareli Sur, José María Bustamante, Margaritas, Proyección 2000, Desarrollo San Ángel, San Pablo, Valle de San Pablo, La Condesa, Balcones de San Pablo, Jardines de Alborada, Sergio Villaseñor, Lomas de San Pablo, Cipreses, Los Robles, Bellavista, Terrazas de San Pablo, Desarrollo San Pablo I, Desarrollo San Pablo II, San Pablo I, San Pablo II, Nuevo Horizonte",20.632400101751500,-100.41132771738200
76127,Queretaro,"Lomas del Salitre, Palmares, Parque Industrial Jurica, Arco de Piedra, El Salitre, Raquet Club, Cuitláhuac",20.6580855,-100.4267226
76130,Queretaro,"Industrial, Obrera",20.6177705,-100.4043864
76134,Queretaro,"Rancho Bellavista, Santa Mónica, San Sebastián, Ampolletas, El Mirador, El Tintero Dos (Las Margaritas), Plutarco Elías Calles, Solidaridad 90, El Arco, El Tintero, Nuevo Carrillo",20.607897700000000,-100.4396002
76135,Queretaro,"San Antonio de la Punta, 5 de Febrero",20.5964894787664,-100.423290401265
