,,,
Postcode,Neighbourhood,Zoning,Borough
76150,Constituyentes FOVISSSTE,Unidad habitacional,Queretaro
76150,La Estación F.F.C.C.,Equipamiento,Queretaro
76150,La Florida,Colonia,Queretaro
76150,La Era,Colonia,Queretaro
76150,La Piedad,Colonia,Queretaro
76150,Los Alcanfores,Colonia,Queretaro
76150,Los Fresnos,Colonia,Queretaro
76150,Los Molinos,Colonia,Queretaro
76150,Molinos de la Era,Colonia,Queretaro
76150,La Popular,Unidad habitacional,Queretaro
76150,San Roque,Colonia,Queretaro
76150,Rinconada los Pirules,Fraccionamiento,Queretaro
76150,Parque Industrial la Montaña,Zona industrial,Queretaro
76150,Felipe Ángeles,Condominio,Queretaro
76150,San Pablo Tecnológico,Fraccionamiento,Queretaro
76150,Villas Tecnológico,Colonia,Queretaro
76150,Los Vitrales,Colonia,Queretaro
76150,Tecnológico 2000,Unidad habitacional,Queretaro
76150,Géminis,Conjunto habitacional,Queretaro
76150,San Roque,Conjunto habitacional,Queretaro
76150,El Fenix,Colonia,Queretaro
76150,Asalias,Colonia,Queretaro
76150,Las Palomas,Fraccionamiento,Queretaro
76150,Sauces,Fraccionamiento,Queretaro
76150,Bugambilias,Fraccionamiento,Queretaro
76150,Rinconada San José,Fraccionamiento,Queretaro
76154,El Retablo,Colonia,Queretaro
76155,Viveros de Queretaro,Colonia,Queretaro
76156,Constituyentes de 1824,Colonia,Queretaro
76156,Los Eucaliptos,Colonia,Queretaro
76156,San Gregorio,Colonia,Queretaro
76156,Los Alcanfores Sección Norte,Equipamiento,Queretaro
76157,Santa Catarina,Colonia,Queretaro
76158,España,Colonia,Queretaro
76158,Las Peñitas,Colonia,Queretaro
76158,El Porvenir,Colonia,Queretaro
76158,Tecnológico,Colonia,Queretaro
76158,Conjunto Parques,Fraccionamiento,Queretaro
76158,Las Peñas,Fraccionamiento,Queretaro
76158,Departamental Parques,Fraccionamiento,Queretaro
76158,Prados del Tecnológico,Fraccionamiento,Queretaro
76158,Los Faroles,Fraccionamiento,Queretaro
76158,Real del Parque,Unidad habitacional,Queretaro
76158,Victoria,Conjunto habitacional,Queretaro
76159,San Pablo,Colonia,Queretaro
76159,Los Girasoles,Colonia,Queretaro
76159,Rinconada San Joaquín,Fraccionamiento,Queretaro
76159,Real Jurica,Fraccionamiento,Queretaro
76159,La Cima,Fraccionamiento,Queretaro
76159,Balcón Campestre,Fraccionamiento,Queretaro
76159,Conjunto Queretaro,Fraccionamiento,Queretaro
76159,Fresnos Condominio 2,Fraccionamiento,Queretaro
76159,Fresnos Condominio 3,Fraccionamiento,Queretaro
76159,Fresnos Condominio 4,Fraccionamiento,Queretaro
76159,5 de Febrero,Zona industrial,Queretaro
76159,Real de San Pablo,Fraccionamiento,Queretaro
76160,Álamos 1a Sección,Colonia,Queretaro
76160,Álamos 2a Sección,Colonia,Queretaro
76160,Álamos 3a Sección,Colonia,Queretaro
76160,El Cerrito,Colonia,Queretaro
76160,El Tepetate,Colonia,Queretaro
76160,Las Brujas,Colonia,Queretaro
76160,Las Hadas,Colonia,Queretaro
76160,Residencial Parque del Álamo,Fraccionamiento,Queretaro
76160,Privada Bugambilias,Colonia,Queretaro
76160,Romy,Colonia,Queretaro
76160,Montecarlo,Condominio,Queretaro
76160,Rinconada de los Alamos,Fraccionamiento,Queretaro
76164,Nacozari,Colonia,Queretaro
76164,Las Rosas,Colonia,Queretaro
76164,Primavera,Colonia,Queretaro
76165,Los Cedros,Colonia,Queretaro
76165,Margaritas,Colonia,Queretaro
76165,San Sebastián,Colonia,Queretaro
76165,Guadalupe Victoria (SAHOP),Colonia,Queretaro
76165,Los Claustros,Fraccionamiento,Queretaro
76166,La Trinidad,Colonia,Queretaro
76168,Las Gemas,Colonia,Queretaro
76168,Lindavista,Colonia,Queretaro
76168,Industria del Hierro,Colonia,Queretaro
76168,Jacarandas,Colonia,Queretaro
76168,Quinta La Laborcilla,Colonia,Queretaro
76168,Claustros del Parque,Fraccionamiento,Queretaro
76168,Lomas de Lindavista,Fraccionamiento,Queretaro
76168,Mega Plaza,Zona comercial,Queretaro
76168,Residencial Bosques,Condominio,Queretaro
76169,Plaza del Parque,Zona comercial,Queretaro
76169,Plaza Boulevares,Zona comercial,Queretaro
76169,Privada la Laborcilla,Unidad habitacional,Queretaro
76170,La Capilla,Colonia,Queretaro
76170,Colibrí,Fraccionamiento,Queretaro
76170,La Reja,Fraccionamiento,Queretaro
76170,Eucaliptos I,Colonia,Queretaro
76170,Eucaliptos II,Colonia,Queretaro
76170,Eucaliptos III,Colonia,Queretaro
76175,Los Virreyes,Colonia,Queretaro
76176,Prados de La Capilla,Colonia,Queretaro
76177,Residencial Gema,Fraccionamiento,Queretaro
76177,Galindas Residencial,Fraccionamiento,Queretaro
76177,Ejido Modelo,Colonia,Queretaro
76177,Modelo,Colonia,Queretaro
76177,Rinconada La Capilla,Fraccionamiento,Queretaro
76177,La Carambada,Fraccionamiento,Queretaro
76177,Residencial Frondoso,Fraccionamiento,Queretaro
76177,Carolina,Fraccionamiento,Queretaro
76177,Demetrio Vallejo,Colonia,Queretaro
76177,Frida Kahlo,Colonia,Queretaro
76177,Residencial Parque La Gloria,Fraccionamiento,Queretaro
76177,Villas de San Antonio,Fraccionamiento,Queretaro
76177,Residencial Villa Jardín,Fraccionamiento,Queretaro
76177,Residencial laToscana,Fraccionamiento,Queretaro
76177,Provincia Santa Elena,Fraccionamiento,Queretaro
76177,Hacienda Galindo,Fraccionamiento,Queretaro
76178,Ensueño,Colonia,Queretaro
76178,Villa las Arboledas,Colonia,Queretaro
76178,El Rosario,Colonia,Queretaro
76178,La Sandia,Condominio,Queretaro
76178,Residencial los Ángeles,Fraccionamiento,Queretaro
76179,Santiago,Colonia,Queretaro
76179,El Sillar,Colonia,Queretaro
76179,Residencial Italia,Fraccionamiento,Queretaro
76179,Quinta Alicia,Fraccionamiento,Queretaro
76179,C.E.A.,Zona federal,Queretaro
76180,El Jacal,Fraccionamiento,Queretaro
76180,Jardines de la Hacienda,Colonia,Queretaro
76180,La Granja,Colonia,Queretaro
76180,Las Plazas,Colonia,Queretaro
76180,Orquídeas,Colonia,Queretaro
76180,Magisterial,Colonia,Queretaro
76180,La Joya,Fraccionamiento,Queretaro
76180,Anáhuac,Colonia,Queretaro
76185,Mansiones del Valle,Colonia,Queretaro
76185,Hacienda San Miguel,Fraccionamiento,Queretaro
76185,Claustros del Campestre,Fraccionamiento,Queretaro
76190,Club Campestre,Colonia,Queretaro
76190,Del Valle,Colonia,Queretaro
76190,Lomas de Queretaro,Colonia,Queretaro
76190,Rincón de San Antonio,Fraccionamiento,Queretaro
76190,Los Pilares,Colonia,Queretaro
76197,Fidel Velázquez Sánchez,Colonia,Queretaro
76199,Prados del Campestre,Fraccionamiento,Queretaro
76210,Jofrito,Pueblo,Queretaro
76210,La Estacada,Pueblo,Queretaro
76210,La Gotera,Pueblo,Queretaro
76211,Ojo de Agua,Ranchería,Queretaro
76212,El Rincón de Ojo de Agua,Ranchería,Queretaro
76212,Guadalupe (La Lagrima),Ranchería,Queretaro
76212,El Raspiño,Ranchería,Queretaro
76212,La Luz,Ranchería,Queretaro
76212,Charape de los Pelones,Ranchería,Queretaro
76212,La Cantera,Ranchería,Queretaro
76213,La Palma,Ranchería,Queretaro
76213,La Versolilla,Colonia,Queretaro
76213,Palo Alto,Pueblo,Queretaro
76214,La Estancia de Palo Dulce,Ranchería,Queretaro
76215,Jofre,Colonia,Queretaro
76215,San Antonio de Trojes,Ranchería,Queretaro
76215,Parque Industrial Queretaro,Zona industrial,Queretaro
76216,Presa de Becerra,Ranchería,Queretaro
76217,Cañada de la Monja,Ranchería,Queretaro
76218,Loma del Chino,Ranchería,Queretaro
76219,La Monja,Ranchería,Queretaro
76220,Lindavista,Colonia,Queretaro
76220,Montenegro,Pueblo,Queretaro
76220,Puerto de Aguirre,Pueblo,Queretaro
76220,San Miguelito,Pueblo,Queretaro
76220,Santa Rosa de Jauregui,Pueblo,Queretaro
76220,Continental,Colonia,Queretaro
76220,Las Rosas,Colonia,Queretaro
76220,Lomas del Pedregal,Colonia,Queretaro
76220,Valle Dorado,Colonia,Queretaro
76220,Los Arquitos,Colonia,Queretaro
76220,San Francisco,Colonia,Queretaro
76220,Santa Lucia,Colonia,Queretaro
76220,Francisco Villa,Colonia,Queretaro
76220,Colinas de Santa Rosa,Colonia,Queretaro
76220,Emiliano Zapata,Colonia,Queretaro
76220,Las Lajitas,Colonia,Queretaro
76220,El Pedregal,Colonia,Queretaro
76220,Los Ángeles,Colonia,Queretaro
76220,La Cruz,Colonia,Queretaro
76220,Corregidora,Colonia,Queretaro
76220,La Loma,Colonia,Queretaro
76220,Arboledas,Colonia,Queretaro
76220,Las Flores,Colonia,Queretaro
76220,Benito Juárez,Colonia,Queretaro
76220,Parque Industrial Polígono Empresarial,Zona industrial,Queretaro
76221,Cerro de la Cruz,Ranchería,Queretaro
76221,Charape de la Joya,Ranchería,Queretaro
76221,La Barreta,Ranchería,Queretaro
76221,La Carbonera,Ranchería,Queretaro
76221,La Joya,Ranchería,Queretaro
76223,Pintillo,Ranchería,Queretaro
76223,Pinto,Pueblo,Queretaro
76223,San Isidro Buenavista,Colonia,Queretaro
76223,Santa Catarina,Colonia,Queretaro
76223,Corea,Colonia,Queretaro
76223,Los Venados,Ranchería,Queretaro
76223,Santa Catarina (Asociación de Colonos),Colonia,Queretaro
76223,Ampliación Piano,Ejido,Queretaro
76223,Hacienda Santa Rosa,Fraccionamiento,Queretaro
76224,La Puerta de Santiaguillo,Ranchería,Queretaro
76224,Presita de San Antonio,Ranchería,Queretaro
76224,Los Jiménez,Ranchería,Queretaro
76224,Cerro Colorado (El Colorado),Ranchería,Queretaro
76224,El Paraíso,Colonia,Queretaro
76224,Casa Blanca,Ranchería,Queretaro
76224,Estancia de la Rochera,Pueblo,Queretaro
76224,Pie de Gallo,Pueblo,Queretaro
76224,San Isidro Viejo,Ranchería,Queretaro
76224,El Herrero,Ranchería,Queretaro
76224,Llano de La Rochera,Ranchería,Queretaro
76224,El Madroño,Colonia,Queretaro
76225,Buenavista,Pueblo,Queretaro
76226,San Isidro,Fraccionamiento,Queretaro
76226,Lomas de Juriquilla,Fraccionamiento,Queretaro
76226,Acequia Blanca,Colonia,Queretaro
76226,San José Buenavista,Pueblo,Queretaro
76226,Villas del Mesón,Fraccionamiento,Queretaro
76226,Lomas de San Isidro,Fraccionamiento,Queretaro
76226,Grand Preserve,Fraccionamiento,Queretaro
76226,Campestre Juriquilla,Fraccionamiento,Queretaro
76226,Real de Juriquilla Prados,Fraccionamiento,Queretaro
76226,Real de Juriquilla,Fraccionamiento,Queretaro
76226,Campestre Ecológico la Rica,Fraccionamiento,Queretaro
76226,Jurica Misiones,Fraccionamiento,Queretaro
76226,Juriquilla,Pueblo,Queretaro
76226,Cuadrilla Juriquilla,Fraccionamiento,Queretaro
76226,Loma Juriquilla,Fraccionamiento,Queretaro
76226,Rincón del Lago,Fraccionamiento,Queretaro
76227,Cerro Prieto,Ranchería,Queretaro
76227,Quintín Lozada,Ranchería,Queretaro
76227,Los Muertos,Ranchería,Queretaro
76227,El Patol,Ranchería,Queretaro
76227,El Transito,Ranchería,Queretaro
76227,La Purísima,Ejido,Queretaro
76228,La Tinaja de La Estancia,Ranchería,Queretaro
76228,San Isidro El Alto,Ranchería,Queretaro
76229,El Pie,Ranchería,Queretaro
76229,Tlacote El Alto,Ranchería,Queretaro
76229,El Nabo,Pueblo,Queretaro
76229,Santa María del Zapote,Ranchería,Queretaro
76229,Tlacote el Bajo,Pueblo,Queretaro
76229,El Puertecito,Ranchería,Queretaro
76229,Puertas de San Miguel,Fraccionamiento,Queretaro
76229,Mesita de Mompani,Ejido,Queretaro
76229,San Francisco de la Palma,Colonia,Queretaro
76229,Mompaní,Ranchería,Queretaro
76230,Jurica La Solana,Fraccionamiento,Queretaro
76230,Punta Juriquilla,Fraccionamiento,Queretaro
76230,Colinas de Juriquilla,Fraccionamiento,Queretaro
76230,Hacienda Grande,Fraccionamiento,Queretaro
76230,Rinconada Santini,Fraccionamiento,Queretaro
76230,Cumbres del Lago,Fraccionamiento,Queretaro
76230,Balcones de Juriquilla,Fraccionamiento,Queretaro
76230,La Cañada Juriquilla,Fraccionamiento,Queretaro
76230,Jurica Tolimán,Fraccionamiento,Queretaro
76230,San Francisco Juriquilla,Fraccionamiento,Queretaro
76230,Juriquilla Privada,Fraccionamiento,Queretaro
76230,Paseo del Piropo,Fraccionamiento,Queretaro
76230,Altavista Juriquilla,Fraccionamiento,Queretaro
76230,La Solana,Colonia,Queretaro
76230,Mayoral 1 y 2,Fraccionamiento,Queretaro
76230,Nuevo Paraíso,Fraccionamiento,Queretaro
76230,Paraíso Diamante,Fraccionamiento,Queretaro
76230,Los Naranjos,Fraccionamiento,Queretaro
76230,Jurica Acueducto,Fraccionamiento,Queretaro
76230,Nuevo Juriquilla,Colonia,Queretaro
76230,Rancho Largo,Colonia,Queretaro
76230,Azteca,Fraccionamiento,Queretaro
76230,Independencia,Fraccionamiento,Queretaro
76230,Caletto,Fraccionamiento,Queretaro
76230,Juriquilla Santa Fe,Fraccionamiento,Queretaro
76233,Santa Rosa de Jauregui,Ejido,Queretaro
76233,Las Paulonias Campestre,Fraccionamiento,Queretaro
76233,El Huizachal de las Tetillas,Colonia,Queretaro
76233,Las Mariposas,Colonia,Queretaro
76234,Santo Niño de Praga,Ranchería,Queretaro
76235,Santa María de los Reyes,Ranchería,Queretaro
76235,Campestre Huertas la Joya,Fraccionamiento,Queretaro
76235,Puerta Verona,Fraccionamiento,Queretaro
76235,Tres Cantos Residencial,Fraccionamiento,Queretaro
76235,El Rincón,Ranchería,Queretaro
76235,Sonterra,Fraccionamiento,Queretaro
76235,Los Viñedos,Fraccionamiento,Queretaro
76237,San Pedrito el Alto (El Obraje),Ranchería,Queretaro
76237,CERESO del Estado,Zona federal,Queretaro
76237,Altozano el Nuevo Queretaro,Fraccionamiento,Queretaro
76237,Nuevo Refugio,Fraccionamiento,Queretaro
76238,Prados de Miranda,Colonia,Queretaro
76238,Santa Juanita Miranda,Colonia,Queretaro
76238,Las Águilas,Colonia,Queretaro
76238,Nuevo Horizonte,Colonia,Queretaro
