,,,
Postcode,Neighbourhood,Zoning,Borough
76087,Lomas de Pasteur,Fraccionamiento,Queretaro
76087,Villas del Cimatario,Fraccionamiento,Queretaro
76087,Jardines del Cimatario,Fraccionamiento,Queretaro
76087,San Andrés,Fraccionamiento,Queretaro
76087,Huertas del Cimatario,Fraccionamiento,Queretaro
76087,Linderos del Cimatario,Colonia,Queretaro
76087,Prados de Queretaro,Colonia,Queretaro
76087,Bosques de las Lomas,Colonia,Queretaro
76087,Pedregal del Cimatario,Colonia,Queretaro
76087,Misión Cimatario,Fraccionamiento,Queretaro
76087,Bellavista,Colonia,Queretaro
76087,Manantiales del Cimatario,Colonia,Queretaro
76087,Raquel Trejo Ortiz,Colonia,Queretaro
76087,Prados del Cimatario,Colonia,Queretaro
76087,Monte Blanco II,Fraccionamiento,Queretaro
76087,Monte Blanco III,Fraccionamiento,Queretaro
76090,Colinas del Cimatario,Colonia,Queretaro
76090,Centro Sur,Colonia,Queretaro
76093,Claustros de la Corregidora 2,Fraccionamiento,Queretaro
76093,Claustros del Marques,Colonia,Queretaro
76093,Residencial Ángeles,Fraccionamiento,Queretaro
76093,Claustros del Sur,Colonia,Queretaro
76093,Claustros de la Corregidora I,Fraccionamiento,Queretaro
76093,Claustros de Santiago,Fraccionamiento,Queretaro
76093,Claustros de la Catedral,Fraccionamiento,Queretaro
76093,Claustros de las Misiones,Fraccionamiento,Queretaro
76099,Plazas del Sol 1a Sección,Colonia,Queretaro
76099,Plazas del Sol 3a Sección,Fraccionamiento,Queretaro
76099,Plazas del Sol 2a Sección,Colonia,Queretaro
76100,La Castellana,Fraccionamiento,Queretaro
76100,Valle Garden,Fraccionamiento,Queretaro
76100,El Destino,Fraccionamiento,Queretaro
76100,Dolce Terra,Fraccionamiento,Queretaro
76100,Vive,Fraccionamiento,Queretaro
76100,Santa Rosa,Fraccionamiento,Queretaro
76100,Jurica,Pueblo,Queretaro
76100,Bleu Casas Platina,Fraccionamiento,Queretaro
76100,Hacienda Juriquilla Santa Fe,Fraccionamiento,Queretaro
76100,Atenas,Fraccionamiento,Queretaro
76100,Rinconada Jurica,Fraccionamiento,Queretaro
76100,El Bordo,Colonia,Queretaro
76100,Valle de Juriquilla,Fraccionamiento,Queretaro
76100,Jurica,Ejido,Queretaro
76100,Gobernantes,Colonia,Queretaro
76100,Jurica Pinar,Fraccionamiento,Queretaro
76100,Jurica,Fraccionamiento,Queretaro
76100,Privada de los Portones,Fraccionamiento,Queretaro
76100,Las Campanas,Colonia,Queretaro
76100,Murano,Fraccionamiento,Queretaro
76110,Satélite,Colonia,Queretaro
76110,Cosmos (Satelite),Colonia,Queretaro
76110,Josefa Ortiz de Domínguez II,Colonia,Queretaro
76110,Josefa Ortiz de Domínguez III,Colonia,Queretaro
76110,Lomas de Satélite,Colonia,Queretaro
76110,Satélite Sección Andadores,Colonia,Queretaro
76110,Satélite Sección Condominios,Colonia,Queretaro
76110,Ampliación Satélite,Colonia,Queretaro
76113,El Sol,Colonia,Queretaro
76113,El Sol Residencial,Fraccionamiento,Queretaro
76113,Rinconada del Sol,Colonia,Queretaro
76113,Bosques del Sol,Colonia,Queretaro
76113,La Luna,Colonia,Queretaro
76113,Los Framboyanes,Fraccionamiento,Queretaro
76113,Valle de San Pedro 2a Sección,Colonia,Queretaro
76113,Plan Santa María,Colonia,Queretaro
76113,Santa Isabel,Colonia,Queretaro
76113,Alborada,Colonia,Queretaro
76113,Tonatiuh 4a Sección,Colonia,Queretaro
76113,Tonatiú,Colonia,Queretaro
76113,Tonatiuh 2a. Sección,Colonia,Queretaro
76113,Tonatiuh 3a Sección,Colonia,Queretaro
76113,El Arcángel,Fraccionamiento,Queretaro
76113,Valle de San Pedro,Colonia,Queretaro
76113,Rancho San Pedro,Fraccionamiento,Queretaro
76114,El Rocio,Colonia,Queretaro
76114,Los Sauces,Colonia,Queretaro
76114,El Rocio II,Colonia,Queretaro
76114,Don Manuel,Colonia,Queretaro
76114,Puerta del Sol II,Colonia,Queretaro
76114,La Huerta,Colonia,Queretaro
76114,Sendero,Zona comercial,Queretaro
76114,Los Castaños,Colonia,Queretaro
76114,Lomas del Carmen,Fraccionamiento,Queretaro
76115,El Garambullo,Colonia,Queretaro
76115,Parque Santiago,Fraccionamiento,Queretaro
76116,Benito Juárez,Colonia,Queretaro
76116,Cerrito Colorado,Colonia,Queretaro
76116,Ciudad del Sol Sección Valle de Santiago,Unidad habitacional,Queretaro
76116,Real de la Loma,Fraccionamiento,Queretaro
76116,Puerta Navarra,Fraccionamiento,Queretaro
76116,Ex-Hacienda Santana,Colonia,Queretaro
76116,Villas de Guadalupe,Colonia,Queretaro
76116,Cerrito Colorado 2a Secc,Colonia,Queretaro
