CP,Neighbourhood,Zoning,Borough
76134,El Tintero,Residential,Queretaro
76227,El Transito,Agro-industrial,Queretaro
76148,El Vergel,Residential,Queretaro
76236,El Zapote,Agro-industrial,Queretaro
76158,España,Residential,Queretaro
76069,Estación Hércules,Residential,Queretaro
76224,Estancia de La Ranchera,Agro-industrial,Queretaro
76150,Estío,Residential,Queretaro
76030,Estrella,Residential,Queretaro
76170,Eucaliptos I,Residential,Queretaro
76170,Eucaliptos II,Residential,Queretaro
76170,Eucaliptos III,Residential,Queretaro
76148,Euripides,Residential,Queretaro
76093,Ex Hacienda Carreteras,Residential,Queretaro
76134,Exhacienda El Tintero,Residential,Queretaro
76147,Exhacienda Menchaca,Residential,Queretaro
76116,Exhacienda Santana,Residential,Queretaro
76138,Felipe Carrillo Puerto,Residential,Queretaro
76137,Ferrocarrileros,Residential,Queretaro
76197,Fidel Velázquez,Residential,Queretaro
76112,Fovissste,Residential Unit,Queretaro
76086,Francisco Villa,Residential,Queretaro
76122,Francisco Villa I,Residential,Queretaro
76118,Francisco Villa II,Residential,Queretaro
76085,Fraternidad de Santiago,Residential,Queretaro
76036,Fray Juan P,Residential,Queretaro
76137,Fuentes,Residential,Queretaro
76177,Galindas,Residential,Queretaro
76116,Geo Plazas,Residential,Queretaro
76100,Gobernantes,Residential,Queretaro
76026,Goyeneche,Residential,Queretaro
76165,Guadalupe Victoria,Residential,Queretaro
76070,Habitacional Vista,Residential,Queretaro
76147,Halcones,Residential,Queretaro
76069,Hércules,Residential,Queretaro
76164,Héroe de Nacozari,Residential,Queretaro
76057,Hidalgo,Residential,Queretaro
76137,Huertas La Joya,Residential,Queretaro
76118,Independencia,Residential,Queretaro
76147,Independencia,Residential,Queretaro
76130,Industrial,Residential,Queretaro
76139,Industrial Carrillo Puerto,Residential,Queretaro
76150,Industrial La Montaña,Residential,Queretaro
76117,Insurgentes,Residential,Queretaro
76029,Jacarandas,Residential,Queretaro
76069,Jardines de Hércules,Residential,Queretaro
76180,Jardines de La Hacienda,Residential,Queretaro
76020,Jardines de Queretaro,Residential,Queretaro
76148,Jardines de Santiago,Residential,Queretaro
76137,Jardines Del Valle,Residential,Queretaro
76127,Jérica,Industrial Zone,Queretaro
76215,Jofre,Agro-industrial,Queretaro
76210,Jofrito,Agro-industrial,Queretaro
76136,José María Arteaga,Residential,Queretaro
76137,José María Arteaga,Residential Unit,Queretaro
76110,Josefa Ortiz de Dominguez,Residential,Queretaro
76100,Jurica,Residential,Queretaro
76100,Jurica,Residential,Queretaro
76100,Jurica Pinar,Residential,Queretaro
76230,Juriquilla,Agro-industrial,Queretaro
76024,Karina,Residential,Queretaro
76074,La Alhambra,Residential,Queretaro
76221,La Barreta,Agro-industrial,Queretaro
76230,La cañada,Residential,Queretaro
76217,La Cañada,Agro-industrial,Queretaro
76170,La Capilla,Residential,Queretaro
76177,La Carambada,Residential,Queretaro
76221,La Carbonera,Agro-industrial,Queretaro
76116,La Cordillera,Residential,Queretaro
76020,La Cruz,Residential,Queretaro
76026,La Cruz,Residential,Queretaro
76150,La Era,Residential,Queretaro
76210,La Estacada,Agro-industrial,Queretaro
76150,La Estación,Residential,Queretaro
76214,La Estancia Palo Dulce,Agro-industrial,Queretaro
76150,La Florida,Residential,Queretaro
76210,La Gotera,Agro-industrial,Queretaro
76180,La Granja,Residential,Queretaro
76114,La Huerta,Residential,Queretaro
76180,La Joya,Residential,Queretaro
76221,La Joya,Agro-industrial,Queretaro
76067,La Laguna,Residential,Queretaro
76113,La Loma,Residential,Queretaro
76168,La Loma,Residential,Queretaro
76113,La Luna,Residential,Queretaro
76212,La Luz,Agro-industrial,Queretaro
76219,La Monja,Agro-industrial,Queretaro
76025,La Pastora,Residential,Queretaro
76116,La Peña,Residential,Queretaro
76150,La Piedad,Residential,Queretaro
76239,La Purisima,Agro-industrial,Queretaro
76146,La Purísima,Residential,Queretaro
76227,La Purísima,Agro-industrial,Queretaro
76170,La Reja,Residential,Queretaro
76137,La Sierrita,Residential,Queretaro
76220,La Solana,Agro-industrial,Queretaro
76228,La Tinaja de La Estancia,Agro-industrial,Queretaro
76166,La Trinidad,Residential,Queretaro
76121,Las Américas,Ampliacion,Queretaro
76121,Las Américas,Residential,Queretaro
76116,Las Azucenas,Residential,Queretaro
76160,Las Brujas,Residential,Queretaro
76010,Las Campanas,Residential,Queretaro
76137,Las Flores,Residential,Queretaro
76030,Las Fuentes,Residential,Queretaro
76147,Las Fuentes,Residential,Queretaro
76177,Las Galindas,Residential,Queretaro
76168,Las Gemas,Residential,Queretaro
76177,Las Glorias,Residential,Queretaro
76160,Las Hadas,Residential,Queretaro
76030,Las Misiones,Residential,Queretaro
76040,Las Palmas,Residential,Queretaro
76158,Las Peñas,Residential,Queretaro
76158,Las Peñitas,Residential,Queretaro
76180,Las Plazas,Residential,Queretaro
76164,Las Rosas,Residential,Queretaro
76220,Las Rosas,Residential,Queretaro
76138,Las Teresas,Residential,Queretaro
76137,Las Teresitas B,Residential,Queretaro
76186,Las Torres,Residential,Queretaro
76087,Lázaro Cárdenas,Residential,Queretaro
76085,Lázaro Cárdenas 3a Secc,Residential,Queretaro
76148,Libertad,Residential,Queretaro
76147,Libertadores de América,Residential,Queretaro
76118,Libertadores de América,Residential,Queretaro
76168,Lindavista,Residential,Queretaro
76228,Llano de La Rochera,Agro-industrial,Queretaro
76049,Loma Bonita,Residential,Queretaro
76116,Loma Bonita 2a Sección,Residential,Queretaro
76118,Loma Bonita Norte,Residential,Queretaro
76218,Loma Del Chino,Agro-industrial,Queretaro
76060,Loma Dorada,Residential,Queretaro
76070,Loma Linda,Residential,Queretaro
76067,Lomas de Carretas,Residential,Queretaro
