AGEB KEY,POPULATION,Population from zero to 14 years,Population aged 18 to 24 that attends school,Population of 18 years and over with post-basic education,Economically active population,Population entitled to health services,IMSS entitled population,ISSSTE entitled population,Population entitled by Seguro Popular,Married or united population of 12 years and over,Population in census households,Total homes,Inhabited private homes that have internet,Inhabited private homes that have a cell phone,Inhabited private homes that have a computer,Inhabited private homes that have a car or truck,Inhabited private homes that have a washing machine,Inhabited private homes that have a refrigerator,Inhabited private homes that have a television,"Inhabited private homes that have electricity, piped water from the public network and drainage",Inhabited private homes that have electric light,Private dwellings inhabited with a floor made of different material than earth,Occupants in inhabited private homes
2200143825000,312,99,13,97,139,212,120,34,55,128,306,153,10,76,30,48,52,70,76,31,79,74,306
2200143825001,27,8,0,3,12,17,12,*,4,11,27,8,0,6,0,*,6,8,8,0,8,6,27
2200143825002,10,*,0,3,4,9,9,0,0,4,10,3,0,3,0,*,*,3,3,0,3,3,10
2200143825003,39,19,*,3,14,25,10,*,13,11,39,9,0,8,*,3,3,5,8,0,8,7,39
2200143825004,31,10,*,3,15,15,7,0,8,12,31,6,0,6,*,3,3,4,5,0,6,5,31
2200143825005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200143825006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200143825007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200143825008,34,8,*,12,14,27,21,0,6,19,34,9,0,8,3,6,7,7,8,0,8,8,34
2200143825009,10,0,*,3,*,0,0,0,0,*,4,3,0,0,*,*,*,*,*,0,*,*,4
2200143825010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200143825011,23,13,*,3,7,16,6,4,6,8,23,6,0,5,*,*,3,4,5,0,5,5,23
2200143825012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200143825013,14,5,0,3,6,11,10,0,0,7,14,3,0,3,*,*,3,3,3,0,3,3,14
2200143825014,15,4,0,0,8,13,3,0,10,8,15,5,0,4,0,0,0,3,3,0,4,4,15
2200143825015,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2200143825016,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
2200143825017,109,30,8,64,57,79,42,27,8,46,109,84,10,33,22,28,24,32,32,31,33,32,109
220014383A000,123,22,10,79,55,74,51,7,3,59,111,54,33,37,36,35,36,37,36,37,37,37,111
220014383A001,103,20,7,68,49,61,39,6,3,55,94,49,30,33,32,32,32,33,32,33,33,33,94
220014383A002,20,*,3,11,6,13,12,*,0,4,17,5,3,4,4,3,4,4,4,4,4,4,17
2200143844000,1531,426,46,970,758,1268,956,43,20,761,1483,644,423,477,447,480,476,490,491,492,492,490,1483
2200143844001,59,21,0,31,28,53,38,*,0,30,59,23,16,19,18,18,19,18,19,19,19,19,59
2200143844002,29,11,0,15,10,22,16,0,3,16,29,12,7,7,7,8,8,8,8,8,8,8,29
2200143844003,68,21,*,46,38,66,40,*,7,42,68,31,23,23,21,23,23,23,23,23,23,23,68
2200143844004,60,22,*,37,28,47,33,0,0,24,60,21,18,18,18,17,18,18,18,18,18,18,60
2200143844005,52,11,*,36,28,39,36,0,0,27,49,20,15,17,17,17,17,17,17,17,17,17,49
2200143844006,29,5,*,23,20,24,19,0,0,17,29,14,7,11,9,11,11,11,10,11,11,11,29
2200143844007,37,8,0,25,21,33,27,3,0,18,37,18,12,12,12,13,13,13,13,13,13,13,37
2200143844008,52,12,*,35,30,49,44,*,*,22,52,23,14,15,16,16,16,16,16,16,16,16,52
2200143844009,47,17,0,25,18,38,36,*,0,25,47,20,11,13,14,13,14,14,14,14,14,14,47
2200143844010,26,9,*,15,9,22,15,0,0,12,26,11,5,7,5,7,7,7,7,7,7,7,26
2200143844011,48,7,3,38,30,42,22,0,0,27,48,25,18,18,16,17,19,19,19,19,19,18,48
2200143844012,47,10,*,35,27,42,28,*,0,25,47,20,15,15,15,15,14,15,15,15,15,15,47
2200143844013,68,18,0,39,33,54,31,*,0,36,62,29,17,20,19,21,20,21,21,21,21,21,62
